Strategy,Annualized Mean Difference,Mean Difference CI Low,Mean Difference CI High,Probability Mean Difference > 0,Sharpe Difference,Sharpe Difference CI Low,Sharpe Difference CI High,Probability Sharpe Difference > 0
Sample MVO,-0.03375887798993926,-0.08217357183604929,0.017290730096409804,0.0895,-0.2459676811111433,-0.5819494184433646,0.041802904919611694,0.0485
Shrinkage MVO,-0.03499069752802347,-0.07278936536849487,0.0014013113796948003,0.0325,-0.07663941850074973,-0.32717125153755466,0.16855764418136324,0.2705
Historical Mean-CVaR,-0.021132608198857324,-0.054672483741111805,0.00800036446275652,0.0995,-0.020048078876473974,-0.255810831005532,0.17477420217979628,0.435
Wasserstein Robust CVaR,-0.016512073341296667,-0.04680759389142294,0.0113800951132522,0.136,-0.007784382837360493,-0.2103836659909062,0.1801554845239548,0.473
