,NoDur,Durbl,Manuf,Enrgy,Chems,BusEq,Telcm,Utils,Shops,Hlth,Money,Other
2015-01-01,0.28208985919586493,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.10765680103622897,0.2602533397679062,0.0,0.0
2015-02-01,0.28633961315379525,0.0,0.0,0.0,0.0,0.0,0.02389081918862434,0.3499999999999999,0.10517789586221177,0.2345916717953687,0.0,0.0
2015-03-01,0.04579720401862562,0.0,0.0,0.0,0.0,0.0,0.35,0.10263244567885642,0.15157035030251806,0.3499999999999998,0.0,0.0
2015-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.3499999999999999,0.0,0.3000000000000002,0.35,0.0,0.0
2015-05-01,0.1694361529207657,0.0,0.0,0.0,0.0,0.0,0.35000000000000003,0.08927755819432565,0.04128628888490866,0.35000000000000003,0.0,0.0
2015-06-01,0.22585724776852012,0.0,0.0,0.0,0.0,0.0,0.3448145035051846,0.06751358943826802,0.011814659288027256,0.3499999999999998,0.0,0.0
2015-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.3499999999999998,0.0,0.3000000000000004,0.35,0.0,0.0
2015-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.29999999999999977,0.0,0.3500000000000002,0.3500000000000001,0.0,0.0
2015-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.29999999999999993,0.0,0.3500000000000001,0.35000000000000003,0.0,0.0
2015-10-01,0.21178802303645086,0.0,0.0,0.0,0.0,0.017129628456356925,0.013772129947009522,0.3259448544524981,0.3499999999999999,0.08136536410768466,0.0,0.0
2015-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.29999999999999993,0.0,0.34999999999999987,0.3500000000000002,0.0,0.0
2015-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,0.0,0.3499999999999999,0.35000000000000003,0.0,0.0
2016-01-01,0.3000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3499999999999999,0.3499999999999999,0.0,0.0
2016-02-01,0.3499999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3000000000000005,0.3499999999999998,0.0,0.0
2016-03-01,0.3499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.030125199730314665,0.31971603027648526,0.3001587699932001,0.0,0.0
2016-04-01,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.3077690527744742,0.2877071943616053,0.0545237528639205,0.0,0.0
2016-05-01,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.3009885843324326,0.23716307598298958,0.11184833968457789,0.0,0.0
2016-06-01,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.3026137494805607,0.23405707569901024,0.11332917482042915,0.0,0.0
2016-07-01,0.35000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.2887133304115277,0.22839513778058051,0.1328915318078918,0.0,0.0
2016-08-01,0.3370835015268687,0.0,0.0,0.0,0.0,0.0,0.014801870275885273,0.27427929783275484,0.1925563922580936,0.18127893810639753,0.0,0.0
