Strategy,Annualized Return,Annualized Volatility,Zero-Rate Sharpe,Sortino,Maximum Drawdown,95% CVaR Loss,Average Monthly Turnover,Annualized Cost Drag,Average Effective N,Average Maximum Weight,Terminal Wealth
Equal Weight,0.11432277517504597,0.15624424848982843,0.7734819020258438,1.1402339620248014,-0.23221899527725143,0.0929341953926438,0.013035719105988147,0.00015642862927185873,11.999999999999998,0.08333333333333333,3.201609241891292
Sample MVO,0.07633881197822734,0.16510118032752497,0.5275142209147005,0.8156449783212348,-0.2962199096774283,0.09182390374237384,0.21954818942079654,0.002634578273049557,3.4515133513087584,0.3438271463621322,2.205219172355857
Shrinkage MVO,0.081139521626995,0.12321493451453097,0.696842483525094,0.9426228248414154,-0.19295527693958292,0.07691884485322054,0.049250555570600055,0.0005910066668472022,4.045872182200867,0.3440430404903947,2.313282874117334
Historical Mean-CVaR,0.09491726862148875,0.13235334974321178,0.7534338231493698,1.1310629293699814,-0.2114470439694931,0.07735824013531538,0.09572018904407531,0.0011486422685289006,3.550181528083866,0.3496962577971588,2.6506295330343086
Wasserstein Robust CVaR,0.09934829957191593,0.13626794203512388,0.7656975191884833,1.0702965894419425,-0.23293563168722486,0.0834170622044483,0.10191970484936538,0.0012230364581923836,4.780721153607677,0.2443549114994495,2.7682453033008243
