,NoDur,Durbl,Manuf,Enrgy,Chems,BusEq,Telcm,Utils,Shops,Hlth,Money,Other
2015-01-01,0.18551895587321243,0.0,0.0,0.0,0.0,0.07240522063393688,0.1855189558732134,0.18551895587321224,0.18551895587321235,0.18551895587321277,0.0,0.0
2015-02-01,0.19049489395129607,0.0,0.0,0.0,0.0,0.1904948939512945,0.19049489395129657,0.19049489395129557,0.0475255302435206,0.19049489395129673,0.0,0.0
2015-03-01,0.19049489395129607,0.0,0.0,0.0,0.0,0.1904948939512945,0.19049489395129657,0.19049489395129557,0.0475255302435206,0.19049489395129673,0.0,0.0
2015-04-01,0.19049489395129607,0.0,0.0,0.0,0.0,0.1904948939512945,0.19049489395129657,0.19049489395129557,0.0475255302435206,0.19049489395129673,0.0,0.0
2015-05-01,0.19049489395129607,0.0,0.0,0.0,0.0,0.1904948939512945,0.19049489395129657,0.19049489395129557,0.0475255302435206,0.19049489395129673,0.0,0.0
2015-06-01,0.022001703017376795,0.0,0.0,0.0,0.0,0.0861643791152753,0.13121518299005996,0.34999999999999976,0.06061873487728889,0.34999999999999915,0.0,0.0
2015-07-01,0.19640832215888243,0.0,0.0,0.0,0.0,0.048379319228203176,0.16598739213626892,0.19640832215888132,0.196408322158882,0.19640832215888201,0.0,0.0
2015-08-01,0.19640832215888243,0.0,0.0,0.0,0.0,0.048379319228203176,0.16598739213626892,0.19640832215888132,0.196408322158882,0.19640832215888201,0.0,0.0
2015-09-01,0.26385041551246585,0.0,0.0,0.0,0.0,0.20844875346260394,0.0,0.2638504155124658,0.26385041551246446,0.0,0.0,0.0
2015-10-01,0.26385041551246585,0.0,0.0,0.0,0.0,0.20844875346260394,0.0,0.2638504155124658,0.26385041551246446,0.0,0.0,0.0
2015-11-01,0.26385041551246585,0.0,0.0,0.0,0.0,0.20844875346260394,0.0,0.2638504155124658,0.26385041551246446,0.0,0.0,0.0
2015-12-01,0.26385041551246435,0.0,0.0,0.0,0.0,0.20844875346260444,0.0,0.26385041551246463,0.2638504155124665,0.0,0.0,0.0
2016-01-01,0.26385041551246513,0.0,0.0,0.0,0.0,0.20844875346260464,0.0,0.2638504155124649,0.26385041551246546,0.0,0.0,0.0
2016-02-01,0.2638504155124651,0.0,0.0,0.0,0.0,0.20844875346260486,0.0,0.2638504155124651,0.26385041551246496,0.0,0.0,0.0
2016-03-01,0.2638504155124654,0.0,0.0,0.0,0.0,0.20844875346260505,0.0,0.2638504155124654,0.2638504155124642,0.0,0.0,0.0
2016-04-01,0.2638504155124654,0.0,0.0,0.0,0.0,0.20844875346260386,0.0,0.2638504155124653,0.2638504155124654,0.0,0.0,0.0
2016-05-01,0.26385041551246585,0.0,0.0,0.0,0.0,0.20844875346260439,0.0,0.26385041551246574,0.26385041551246413,0.0,0.0,0.0
2016-06-01,0.26385041551246535,0.0,0.0,0.0,0.0,0.20844875346260217,0.0,0.2638504155124656,0.26385041551246685,0.0,0.0,0.0
2016-07-01,0.26385041551246585,0.0,0.0,0.0,0.0,0.20844875346260333,0.0,0.2638504155124655,0.2638504155124654,0.0,0.0,0.0
2016-08-01,0.26385041551246585,0.0,0.0,0.0,0.0,0.20844875346260333,0.0,0.2638504155124655,0.2638504155124654,0.0,0.0,0.0
2016-09-01,0.26385041551246596,0.0,0.0,0.0,0.0,0.2084487534626048,0.0,0.2638504155124634,0.26385041551246585,0.0,0.0,0.0
2016-10-01,0.2679277224370512,0.0,0.0,0.0,0.0,0.18825489602081125,0.26792772243705015,0.26792772243705165,0.007961936668035616,0.0,0.0,0.0
