date,Equal Weight,Sample MVO,Shrinkage MVO,Historical Mean-CVaR,Wasserstein Robust CVaR
2015-01-01,0.0,0.0006666666666666666,0.000623936334660897,0.0005945239775155256,0.0005109281126993964
2015-02-01,1.1264795584405934e-05,3.15156655654853e-05,6.2651992029865e-05,0.0002971260313130149,0.00013862443428820642
2015-03-01,1.0011764612991616e-05,0.0004767686228152872,2.1314720744645264e-05,2.5646300525046256e-05,1.6884560065039704e-05
2015-04-01,6.042459691145981e-06,0.00015244305591694188,3.685251743850349e-05,5.130432409822045e-06,6.629514228680727e-06
2015-05-01,8.16841994907066e-06,0.0002644863807187916,1.6481323017971143e-05,4.587276105593061e-06,6.713852741762127e-06
2015-06-01,7.6122159286668994e-06,5.840897108752385e-05,7.74969828466228e-05,0.0003875017813292913,0.00032992880901367723
2015-07-01,6.970082749840873e-06,0.00029259194376132845,0.00013343451842501156,5.057689679017503e-05,0.0003416875427358053
2015-08-01,1.5020582944299144e-05,4.4653384834315775e-05,0.00011519765058252579,3.679758187203841e-06,5.6906816550551e-06
2015-09-01,6.533837047785027e-06,7.558954885758168e-06,0.0001389044182377533,0.0004688000929959354,0.00035309255372806557
2015-10-01,7.668091621437959e-06,0.0005548625059453059,0.00012649547383839654,3.043692282186046e-06,2.999023389264041e-06
2015-11-01,9.755399689126392e-06,0.000552121779227891,4.8979201114984326e-05,1.2322481301869387e-05,1.1420821848390341e-05
2015-12-01,5.8764504022042474e-06,5.795304563452453e-06,2.7382312948699544e-05,9.726857666508561e-06,8.212110249472687e-06
2016-01-01,9.088267717208311e-06,0.00030000000000000014,2.6606396186313037e-05,6.678562415438703e-06,7.2115683920328245e-06
2016-02-01,1.882837849688679e-05,5.201504369307855e-05,4.530054557375717e-05,2.1784017570849676e-05,1.909344519571671e-05
2016-03-01,9.992065853416651e-06,4.9210599376168745e-05,2.4587328257532088e-05,4.3397547734320695e-06,3.676735084534158e-06
2016-04-01,7.71801647753769e-06,0.0002768099997262919,5.62559917802829e-05,6.196923130076734e-06,6.722298558621859e-06
2016-05-01,1.198912912715857e-05,5.459758525011874e-05,3.4685447943451616e-05,6.69443222693717e-06,6.4944585523998426e-06
2016-06-01,7.029389496868356e-06,2.7772014019052315e-06,1.0140719705347823e-05,6.354483372932957e-06,6.5486412826951116e-06
2016-07-01,1.3113167754261475e-05,2.599404292146896e-05,5.619582957915992e-05,1.7129508564573153e-05,1.5578317613755485e-05
2016-08-01,1.190840925582519e-05,5.722823027917809e-05,3.265549806110714e-05,1.369107756200407e-05,1.3642446983533619e-05
2016-09-01,1.0143025758522517e-05,6.110490827688456e-05,4.118627711684514e-05,8.492070667108747e-06,7.6120087896116016e-06
2016-10-01,6.1218714365381335e-06,9.407468373298864e-05,9.399736845833921e-05,0.0003786335196710288,0.0002788712448383286
2016-11-01,8.88811184835201e-06,0.00019717594785542358,0.00014461877840663286,3.453492815281095e-06,5.042532116012884e-06
2016-12-01,2.0929159173019657e-05,7.477701841863053e-05,1.8776998419250722e-05,1.5056047511969608e-05,0.00034496133961747755
2017-01-01,7.470673509741052e-06,1.6719849616857693e-05,3.693863152942713e-05,4.969928320834885e-06,8.174458096257501e-06
2017-02-01,7.334643091028153e-06,2.0421922417399027e-05,1.0366739538593601e-05,6.153998985117065e-06,5.115879004430386e-06
2017-03-01,9.435820235146851e-06,1.0341034754552045e-05,5.7199175831216156e-05,5.129116644395762e-06,6.181952276990892e-06
2017-04-01,4.08524597437241e-06,0.0002567216067639115,2.90276793702277e-05,2.46026755429396e-06,2.405820751356167e-06
2017-05-01,5.288993934185068e-06,0.00031361614917146973,7.35876396154362e-06,3.855062371653728e-06,4.500971467192925e-06
2017-06-01,8.197806745292795e-06,0.0001998061814489554,9.526936528092439e-05,0.0002748700258594575,0.0003335074251460626
2017-07-01,1.1804332183708431e-05,5.231037396089377e-05,3.804126900943389e-05,7.900262676573552e-06,0.00013817322063575327
2017-08-01,6.599734017133222e-06,1.2316624795668182e-05,1.852556271048271e-05,7.2840507189140955e-06,2.0941579668894372e-05
2017-09-01,9.298544527221932e-06,4.3668946572030464e-05,1.527712340091486e-05,1.181279696598861e-05,5.188072881036597e-05
2017-10-01,1.3041168981763038e-05,6.414172608127058e-06,1.5308393411380628e-05,8.908042126117698e-06,5.9307571513172494e-05
2017-11-01,1.1088427534203728e-05,0.0005588943287323112,4.787224843664928e-05,0.00015638137883834267,5.9057412503938255e-05
2017-12-01,6.243660831268497e-06,0.0001533065931771603,6.996252464436089e-05,5.849340090545114e-06,1.6981029304803286e-05
