,NoDur,Durbl,Manuf,Enrgy,Chems,BusEq,Telcm,Utils,Shops,Hlth,Money,Other
2015-01-01,0.3006891696625362,0.0,0.0,0.0,0.042730332005769624,0.0,0.0,0.35,0.09988399524504332,0.20669650308665097,0.0,0.0
2015-02-01,0.3165815811728035,0.0,0.0,0.0,8.236495703849068e-05,0.019576253275254227,0.023672091176847838,0.35,0.09971361412666832,0.1903740952913878,0.0,0.0
2015-03-01,0.31859478894610205,0.0,0.0,0.0,0.00022785869155579473,0.017694276484925442,0.020001365000028224,0.35000000000000003,0.09987496658231369,0.19360674429507485,0.0,0.0
2015-04-01,0.3014067201158443,0.0,0.0,0.0,0.0,0.011004550791411888,0.03426176003540305,0.35,0.12359150940531582,0.17973545965202503,0.0,0.0
2015-05-01,0.31016806629171906,0.0,0.0,0.0,0.0,0.016648330298008614,0.03999848104256998,0.35,0.10576364702865025,0.1774214753390522,0.0,0.0
2015-06-01,0.293540363849739,0.0,0.0,0.0,0.0,0.04367689460392207,0.023505862558087447,0.35,0.0611149529306756,0.2281619260575759,0.0,0.0
2015-07-01,0.22387199860844748,0.0,0.0,0.0,0.0,0.013043290124289134,0.04936041266003308,0.35,0.1600438623902656,0.20368043621696477,0.0,0.0
2015-08-01,0.22036324588274486,0.0,0.0,0.0,0.0515955117115642,0.02142728559644806,0.0998975013497226,0.3499999999999999,0.11892517488387869,0.13779128057564155,0.0,0.0
2015-09-01,0.28897542661416015,0.0,0.0,0.0,0.01520494194276257,0.07154026781402045,0.0487883057952684,0.35,0.1423509630851628,0.08314009474862566,0.0,0.0
2015-10-01,0.2378781741365623,0.0,0.0,0.0,0.0,0.11867385013206111,0.03987069134750564,0.35,0.22100920856632947,0.03256807581754159,0.0,0.0
2015-11-01,0.24592359729876836,0.0,0.0,0.0,0.0,0.10288770806415637,0.028311878467087985,0.35,0.25417937994397677,0.018697436226010465,0.0,0.0
2015-12-01,0.24325403287322503,0.0,0.0,0.0,0.0,0.11158602030843306,0.01726942687857065,0.35,0.24623004176197388,0.03166047817779737,0.0,0.0
2016-01-01,0.25412287956466373,0.0,0.0,0.0,0.0,0.11490988070071154,0.014878417259937144,0.35,0.22415564642218216,0.04193317605250556,0.0,0.0
2016-02-01,0.27565178978681865,0.0,0.0,0.0,0.0,0.10204625122468514,0.028718882618437594,0.35,0.22655376097620664,0.01702931539385194,0.0,0.0
2016-03-01,0.27785822218682044,0.0,0.0,0.0,0.0,0.09548513311983836,0.05083026192950257,0.35000000000000003,0.21197811678015607,0.013848265983682594,0.0,0.0
2016-04-01,0.29473942867134634,0.0,0.0,0.0,0.0,0.05303780082492936,0.04315403995895073,0.35,0.21630799630147823,0.04276073424329539,0.0,0.0
2016-05-01,0.2998195858014112,0.0,0.0,0.0,0.0,0.03363713174536337,0.03552052690647458,0.35,0.20645066850311533,0.07457208704363556,0.0,0.0
2016-06-01,0.3003263498059298,0.0,0.0,0.0,0.0,0.027718747627054976,0.03833763698865954,0.35,0.20911728645708044,0.07449997912127537,0.0,0.0
2016-07-01,0.2762112988398481,0.0,0.0,0.0,0.0,0.047916366344547996,0.028726839164831812,0.3393457950311328,0.21555447205970726,0.09224522855993215,0.0,0.0
2016-08-01,0.26920499186608077,0.0,0.0,0.0,0.0,0.032598070815242325,0.05538039188668315,0.3320878291337773,0.2083036579419976,0.10242505835621889,0.0,0.0
2016-09-01,0.26574955398087036,0.0,0.0,0.0,0.0,0.07346648603094268,0.056426878126495016,0.31977370187785353,0.19752990743933652,0.08705347254450188,0.0,0.0
2016-10-01,0.2669970659703143,0.0,0.0,0.0,0.029493186553945228,0.048851393621124,0.07152203082378533,0.30609785359091163,0.16192429489106264,0.07341938976831851,0.04169478478053839,0.0
2016-11-01,0.23969423895695005,0.0,0.011812192995323899,0.0,0.02753371724485582,0.07163101848183275,0.02839097240022578,0.34240893123238814,0.16724544514515843,0.0,0.11128348354326499,0.0
2016-12-01,0.23076731293727626,0.0,0.00872560907112179,0.0,0.02464902232577834,0.07142619896552466,0.03480791329570729,0.3428360085086152,0.16639550238352727,0.0,0.12039243251244934,0.0
2017-01-01,0.21852642606797854,0.0,0.0068435335174988855,0.0,0.03624364776155231,0.06975966874911613,0.027664812941404982,0.3424107192095789,0.18641129506247106,0.0,0.11213989669039924,0.0
2017-02-01,0.21786637897978103,0.0,0.011838498601636842,0.0,0.031244092752100404,0.07143923009009656,0.024991440905814868,0.3406236204291496,0.18846210847268244,0.0,0.11353462976873809,0.0
2017-03-01,0.22026426094144633,0.0,0.0,0.011849880848644417,0.007053713361537302,0.07860662721657732,0.057414727427001704,0.3232792534470441,0.19024675088077508,0.0,0.11128478587697375,0.0
2017-04-01,0.2296877033586897,0.0,0.0,0.0,0.0,0.08445763920485969,0.05207305724908649,0.32019830742111743,0.18924234706260784,0.0,0.12434094570363878,0.0
2017-05-01,0.22950649927200373,0.0,0.0,0.0,0.0,0.08809405348263445,0.049207321293378604,0.31994506606786655,0.18747364955635717,0.0,0.12577341032775952,0.0
2017-06-01,0.2373061234249783,0.0,0.0,0.021640217793169058,0.0,0.12101716132763568,0.0,0.311119765314511,0.14945885533379993,0.0,0.15945787680590617,0.0
2017-07-01,0.24615243587556082,0.0,0.0,0.02174248840195743,0.0,0.10753639259192682,0.010217359334419345,0.31083273055611144,0.12077076150967588,0.0,0.18274783173034836,0.0
2017-08-01,0.25119113107700064,0.0,0.0,0.023787038194661818,0.0,0.10301963557954603,0.005818119867420047,0.3088538516401996,0.1259922770998165,0.0,0.18133794654135543,0.0
2017-09-01,0.24436634344294014,0.0,0.0,0.018566933090964296,0.0,0.11259531915396717,0.0026878512996883065,0.3206104343256759,0.11823877805230873,0.0,0.1829343406344555,0.0
2017-10-01,0.2390433481859017,0.0,0.0,0.022278024478625015,0.0,0.10791446682490193,0.007060265980633645,0.31971755684179387,0.12135322883094529,0.0,0.1826331088571986,0.0
2017-11-01,0.24598334116890752,0.0,0.0,0.021639010925459584,0.0,0.11463075782083909,0.03919257392654211,0.3006082389658472,0.11185462697307035,0.0,0.1660914502193342,0.0
