date,Equal Weight,Sample MVO,Shrinkage MVO,Historical Mean-CVaR,Wasserstein Robust CVaR
2015-01-01,0.0,0.6666666666666666,0.623936334660897,0.5945239775155255,0.5109281126993964
2015-02-01,0.011264795584405934,0.031515665565485296,0.062651992029865,0.2971260313130149,0.13862443428820642
2015-03-01,0.010011764612991615,0.4767686228152872,0.021314720744645264,0.025646300525046257,0.016884560065039703
2015-04-01,0.006042459691145981,0.15244305591694188,0.036852517438503485,0.005130432409822045,0.006629514228680727
2015-05-01,0.008168419949070659,0.2644863807187916,0.01648132301797114,0.004587276105593062,0.006713852741762127
2015-06-01,0.007612215928666899,0.058408971087523846,0.0774969828466228,0.3875017813292913,0.3299288090136772
2015-07-01,0.006970082749840872,0.29259194376132847,0.13343451842501156,0.050576896790175026,0.3416875427358053
2015-08-01,0.015020582944299143,0.044653384834315774,0.11519765058252579,0.003679758187203841,0.0056906816550551
2015-09-01,0.006533837047785027,0.007558954885758168,0.1389044182377533,0.4688000929959354,0.3530925537280656
2015-10-01,0.0076680916214379585,0.5548625059453058,0.12649547383839654,0.003043692282186046,0.002999023389264041
2015-11-01,0.009755399689126393,0.552121779227891,0.04897920111498433,0.012322481301869387,0.011420821848390342
2015-12-01,0.005876450402204247,0.0057953045634524525,0.02738231294869954,0.009726857666508562,0.008212110249472687
2016-01-01,0.00908826771720831,0.30000000000000016,0.026606396186313035,0.006678562415438703,0.007211568392032824
2016-02-01,0.01882837849688679,0.05201504369307855,0.045300545573757164,0.021784017570849676,0.019093445195716707
2016-03-01,0.009992065853416651,0.04921059937616874,0.024587328257532088,0.00433975477343207,0.003676735084534158
2016-04-01,0.007718016477537691,0.2768099997262919,0.0562559917802829,0.006196923130076734,0.006722298558621859
2016-05-01,0.01198912912715857,0.054597585250118735,0.03468544794345162,0.006694432226937171,0.006494458552399843
2016-06-01,0.007029389496868356,0.0027772014019052313,0.010140719705347823,0.006354483372932956,0.006548641282695111
2016-07-01,0.013113167754261475,0.02599404292146896,0.05619582957915992,0.017129508564573154,0.015578317613755485
2016-08-01,0.01190840925582519,0.05722823027917809,0.03265549806110714,0.013691077562004071,0.013642446983533618
2016-09-01,0.010143025758522516,0.061104908276884556,0.04118627711684514,0.008492070667108748,0.007612008789611602
2016-10-01,0.006121871436538133,0.09407468373298863,0.09399736845833921,0.37863351967102876,0.2788712448383286
