date,NoDur,Durbl,Manuf,Enrgy,Chems,BusEq,Telcm,Utils,Shops,Hlth,Money,Other
2014-08,5.56,5.07,4.67,2.32,5.14,4.24,0.33,5.31,5.01,5.54,3.85,4.54
2014-09,-0.07,-9.38,-3.33,-7.83,-0.91,-1.40,-1.45,-3.38,-1.33,-0.22,-0.56,-2.00
2014-10,2.69,3.49,3.18,-4.19,0.96,1.58,1.30,6.71,2.71,5.92,3.79,2.80
2014-11,4.79,4.42,2.16,-9.57,2.52,4.28,2.46,0.26,7.51,2.52,1.80,3.73
2014-12,-2.41,0.35,-0.43,0.54,0.60,-1.27,-2.05,1.86,1.60,-0.83,2.14,-0.39
2015-01,-0.56,-4.28,-3.89,-4.31,-3.50,-3.50,-4.47,1.24,-0.40,1.58,-7.76,-3.98
2015-02,5.13,8.02,6.24,4.72,5.97,8.25,8.92,-4.36,5.67,4.00,7.98,5.97
2015-03,-2.42,-0.58,-1.55,-2.49,-3.00,-2.53,-2.12,-0.31,0.66,0.86,0.20,-1.91
2015-04,0.81,-0.71,-0.94,6.65,-0.42,1.46,3.63,0.28,-2.09,-1.55,0.74,0.35
2015-05,1.50,0.99,1.09,-5.11,0.50,1.90,0.33,-0.43,1.07,4.99,3.12,-0.60
2015-06,-1.53,-1.85,-2.04,-3.75,-1.89,-3.61,-0.55,-5.27,-0.61,0.37,1.47,-2.49
2015-07,4.96,-2.31,-1.82,-8.95,-2.36,2.19,1.52,2.65,5.14,3.50,1.94,1.66
2015-08,-4.10,-5.98,-4.79,-3.65,-7.18,-5.82,-8.38,-4.08,-5.30,-8.38,-6.51,-5.56
2015-09,-0.56,-3.45,-4.44,-5.75,-3.86,-1.29,-2.50,-0.50,-2.06,-6.92,-3.19,-2.87
2015-10,6.80,6.96,8.27,12.17,11.61,10.20,9.07,2.09,4.82,7.51,5.77,7.86
2015-11,-0.92,1.96,0.48,1.06,0.28,1.11,-1.92,-3.42,1.10,0.58,2.19,0.04
2015-12,0.78,-4.08,-3.49,-9.60,-0.76,-2.54,-2.96,-2.39,0.04,0.32,-2.87,-2.26
2016-01,0.17,-12.33,-6.25,-4.37,-4.71,-5.94,0.39,4.67,-4.53,-10.12,-9.72,-6.96
2016-02,0.59,4.09,3.65,-2.95,2.65,-0.88,0.91,1.72,0.11,-0.97,-3.01,4.05
2016-03,4.96,10.65,7.35,10.89,6.14,8.51,6.16,7.84,5.56,3.95,6.60,7.99
2016-04,0.27,1.54,2.63,9.17,1.68,-4.25,0.69,-0.80,-0.55,4.96,4.16,-0.34
2016-05,0.74,-1.09,-0.59,-0.59,-0.42,5.17,0.17,2.24,0.96,2.42,2.20,-0.46
2016-06,4.74,-5.48,0.66,2.55,1.36,-1.73,3.55,7.43,0.73,-0.17,-5.32,0.77
2016-07,-0.06,8.58,4.78,-2.73,2.84,7.50,2.25,-0.25,3.84,6.16,4.06,3.33
2016-08,-0.61,0.25,1.03,1.61,2.05,1.79,-3.17,-3.78,-1.36,-3.15,4.92,0.67
2016-09,-2.48,-1.54,0.15,2.81,-0.32,2.21,0.47,1.83,-0.62,0.60,-1.49,-0.19
2016-10,-0.18,-3.77,-2.69,-2.96,-2.32,-1.07,-3.05,-0.66,-4.12,-7.53,1.54,-0.65
2016-11,-3.87,7.55,9.27,9.59,1.13,0.73,6.54,-2.65,4.28,2.39,13.31,8.35
2016-12,3.46,3.98,0.30,1.97,0.83,0.91,4.89,3.61,-0.30,0.69,3.87,1.36
2017-01,1.69,2.94,3.10,-4.29,3.77,4.60,3.33,1.09,1.11,2.02,0.52,1.72
2017-02,3.75,0.72,4.12,-2.46,4.25,4.88,-0.12,3.85,2.88,6.97,4.57,2.13
2017-03,0.88,0.24,-0.27,-1.20,0.86,2.10,0.88,0.38,0.79,0.04,-2.32,-0.29
2017-04,0.51,1.69,2.76,-2.73,0.26,2.55,0.11,0.32,2.65,0.93,0.16,0.85
2017-05,3.22,-0.15,1.59,-3.38,0.68,4.07,-1.52,2.44,1.67,-0.27,-1.14,1.04
2017-06,-1.12,3.35,1.55,-0.14,0.61,-2.07,-2.46,-1.91,-1.88,5.53,5.95,1.68
2017-07,-0.06,-1.01,2.29,2.04,1.95,3.64,5.33,2.99,0.20,0.69,1.85,0.72
2017-08,-1.75,0.03,-0.06,-5.13,1.07,2.98,-2.48,2.18,-1.60,2.59,-1.29,0.78
2017-09,-0.38,5.39,5.02,10.94,1.94,0.61,-1.50,-1.95,2.49,2.08,5.28,3.29
2017-10,0.08,1.31,3.61,0.47,0.81,6.86,-5.58,3.02,2.69,-2.25,3.37,0.39
2017-11,4.07,-0.49,3.41,2.99,3.59,1.11,4.01,2.42,7.77,2.48,3.97,3.66
2017-12,2.01,-0.72,2.48,5.00,1.80,-0.17,4.49,-4.98,2.54,-0.16,1.03,1.89
2018-01,1.93,2.75,6.10,2.77,-0.72,7.79,3.15,-2.81,9.38,6.39,6.13,5.44
2018-02,-6.22,-6.04,-3.26,-10.78,-6.01,0.02,-7.05,-4.54,-4.48,-3.49,-2.59,-4.62
2018-03,-1.08,-5.57,-3.24,3.07,0.40,-3.14,-2.53,3.17,-2.58,-2.39,-3.44,-1.21
2018-04,-3.95,-0.30,-3.64,9.93,-2.85,-0.17,-2.31,2.78,3.78,-0.05,1.15,-0.39
2018-05,-0.58,3.11,3.21,3.39,0.71,6.80,-1.31,0.27,0.85,2.38,0.38,3.48
2018-06,4.33,0.61,-2.29,0.50,2.42,-0.43,6.51,2.57,2.93,1.47,-1.03,-0.73
2018-07,2.87,-1.16,5.87,1.11,3.95,2.48,2.73,1.68,3.08,5.90,4.26,3.03
2018-08,-1.16,-0.54,-1.12,-2.84,1.14,7.15,2.89,0.93,7.99,4.50,2.44,2.42
2018-09,0.71,-3.69,2.47,3.37,-1.15,-0.08,1.79,-0.57,0.55,2.08,-2.07,-0.42
2018-10,-0.22,-2.99,-11.77,-11.73,-5.73,-8.82,-0.41,-0.06,-8.80,-8.79,-5.59,-8.80
2018-11,0.49,5.24,4.26,-2.20,5.54,-1.65,2.52,3.26,2.64,6.41,2.87,2.87
2018-12,-11.31,-11.58,-9.94,-13.06,-6.25,-8.17,-8.70,-4.77,-9.01,-8.24,-11.57,-9.58
2019-01,7.29,11.03,11.75,10.34,5.69,9.22,5.45,5.38,8.32,5.31,9.87,9.70
2019-02,1.34,3.74,5.71,2.47,4.18,5.68,3.04,3.55,0.80,3.30,2.76,3.63
2019-03,3.67,-5.00,-2.19,2.02,1.80,3.77,0.60,3.33,3.39,0.51,-2.51,0.67
2019-04,3.13,3.41,3.82,0.22,4.47,5.88,5.98,1.00,4.62,-3.16,7.13,5.71
2019-05,-5.62,-12.24,-9.87,-11.88,-7.80,-8.58,-3.00,-1.55,-6.05,-3.40,-5.58,-6.96
2019-06,4.91,13.12,9.61,8.83,5.01,7.94,5.15,3.64,7.17,6.82,6.20,7.48
2019-07,1.60,0.83,-0.31,-2.64,3.56,3.67,2.05,-1.01,1.02,-2.16,3.14,-0.48
